Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aadhya,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,..,-,-,..
Aadita,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Aaditri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Aafreen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Aailyah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Aaiyana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Aalaiya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Aaleigha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Aaleyah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Aalia,-,-,-,-,-,-,-,-,-,-,..,..,-,-,-,-,-,-,-,-
Aaliayah,-,-,-,-,-,-,-,-,-,-,-,-,..,-,..,-,-,-,-,-
Aaliya,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,..,-,-,..
Aaliyaa,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Aaliyah,-,-,-,..,..,12,6,13,10,11,8,5,7,6,10,13,7,8,10,13
Aaliyah-mae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Aaliyah-rose,-,-,-,-,-,-,-,-,..,-,-,-,..,-,-,..,-,-,-,-
Aalya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Aalyiah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
Aalyssa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Aambal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Aamira,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-
Aamna,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-
Aanika,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aanisah,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aaniya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Aanshi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Aanya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Aaradhya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
Aaralyn,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Aaria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
Aarifah,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-
Aariyah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Aarna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
Aarohi,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Aarti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Aarya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Aashi,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-
Aashna,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aashni,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Aashritha,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Aasma,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aastha,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-
Aayeesha,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-
Aaysha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Abaco-lily,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Abagail,-,..,-,-,-,..,-,-,..,-,-,-,..,-,-,-,-,-,-,-
Abagaile,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-
Abageal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Abai,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-
Abaigael,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,..,-,-
Abaigeal,..,-,..,-,..,..,-,..,-,..,-,..,-,-,..,-,-,-,..,-
Abaigh,..,-,-,..,-,..,..,..,..,-,3,..,..,..,..,..,..,3,3,3
Abana-efia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Abbagael,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Abbagail,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Abbey,..,5,7,3,3,8,5,5,3,5,6,9,3,10,6,6,..,3,3,4
Abbey-gale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Abbey-Lei,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Abbey-Leigh,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
Abbey-rose,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Abbi,3,4,..,..,4,3,7,7,9,11,..,7,5,6,3,3,..,..,..,-
Abbia,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Abbiagh,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Abbie,25,24,32,37,43,40,64,77,74,81,69,78,54,70,70,64,39,44,39,43
Abbiegail,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,..,-,-,-
Abbie-Gayle,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
Abbie-Grace,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-
Abbie-Jane,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-
Abbie-Lea,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Abbielee,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
